Percent-of-Population-Under-15-(2013-2017),Percent-of-Population-Aged-15-to-64-(2013-2017),Percent-of-Population-65+-(2013-2017),Percent-of-Population-White-(non-Hispanic)-(2013-2017),Percent-of-Populaiton-Black-(non-Hispanic)-(2013-2017),Percent-of-Population-Hispanic-or-Latino-(2013-2017),Percent-of-Population-Asian-(non-Hispanic)-(2013-2017),Percent-of-Population-Native-American/Alaska-Native-(non-Hispanic)-(2013-2017),Percent-of-Population-Native-Hawaiian/Pacific-Islander-(2013-2017),Percent-of-Population-Aged-25+-who-Have-at-Least-a-High-School-Diploma-(2013-2017),Percent-of-Population-Aged-25+-who-Have-a-Bachelor's-Degree-or-More-(2013-2017),Poverty-Rate-(2013-2017),Median-Household-Income-(2013-2017),Unemployment-Rate-(2013-2017),Percent-of-Residents-with-a-Disability-(Aged-18-64)-(2013-2017),Percent-of-Popualtion-Employed-in-Mining-and-Natural-Resources-(2013-2017),Percent-of-Popualtion-Employed-in-Construction-(2013-2017),Percent-of-Popualtion-Employed-in-Trade-Transportation-and-Utilities-(2013-2017),Number-of-Substance-Use-Facilities-(As-of-March-2023),Number-of-Mental-Health-Facilities-(As-of-March-2023),MDsPerCapita,Urbanicity,Social-Resilience-Score,Economic-Risk-Score,Social-Risk-Score,Economic-Resilience-Score,Prosperity-Index-Score,death-rate-2013-2016,goodsam-law,goodsam-cs_Arrest,goodsam-cs_Charge,goodsam-cs_Prosecution,goodsam-cs_Law provides an affirmative defense,goodsam-cs_None,goodsam-paraphernalia_Arrest,goodsam-paraphernalia_Charge,goodsam-paraphernalia_Prosecution,goodsam-paraphernalia_Law provides an affirmative defense,goodsam-paraphernalia_None,goodsam-paroleyn,goodsam-parole_Protection from arrest,goodsam-parole_Protection from charge,goodsam-parole_Protection from prosecution,goodsam-parole_Protection from revocation of probation and/or parole,goodsam-parole_General protection from sanctions for violation of probation and/or parole,goodsam-mitigation,goodsam-mit-type_Controlled substances offenses,goodsam-mit-type_Alcohol-related offenses,goodsam-mit-type_Other offenses beyond controlled substances and alcohol-related violations
0.1793,0.6415,0.1792,0.951,0.0029,0.0241,0.0005,0.0005,0.0006,0.9173,0.204,0.1199,53510.0,0.0716,0.1034,0.0409,0.0793,0.3059,1.0,1.0,6.13,Urban,4.0,2.0,2.0,3.0,3.0,79.64710207082466,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1922,0.6736,0.1342,0.6831,0.0455,0.1397,0.1101,0.0005,0.0003,0.9244,0.4731,0.0705,81521.0,0.0607,0.0593,0.0012,0.0415,0.2314,33.0,18.0,7.42,Urban,1.0,2.0,1.0,1.0,1.0,39.97790468493757,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1871,0.617,0.1959,0.9475,0.0084,0.0286,0.0041,0.0039,0.0002,0.8883,0.1738,0.1404,49257.0,0.0755,0.1374,0.0204,0.0331,0.233,1.0,2.0,29.07,Urban,3.0,3.0,3.0,3.0,3.0,21.80549498473616,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.2131,0.6583,0.1286,0.8743,0.0142,0.0911,0.0071,0.0005,0.0,0.9294,0.2177,0.0981,67162.0,0.0745,0.0985,0.0041,0.0933,0.3317,1.0,1.0,9.93,Urban,3.0,1.0,1.0,3.0,2.0,53.63741110095753,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1844,0.6302,0.1854,0.9095,0.0176,0.0545,0.0055,0.0007,0.0,0.889,0.2127,0.1233,54757.0,0.0527,0.0938,0.0284,0.0645,0.2277,2.0,1.0,0.0,Urban,3.0,2.0,2.0,4.0,3.0,20.128419315231174,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1496,0.7193,0.1311,0.7498,0.1409,0.0416,0.0356,0.0023,0.0,0.9226,0.3591,0.2825,33845.0,0.0902,0.1104,0.0218,0.0344,0.1681,5.0,2.0,20.27,Urban,2.0,4.0,2.0,4.0,3.0,40.54875988376022,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1736,0.6504,0.176,0.962,0.0029,0.0127,0.0057,0.0016,0.0009,0.9118,0.1838,0.091,52738.0,0.0785,0.11,0.0169,0.0512,0.2216,0.0,0.0,13.37,Urban,3.0,1.0,2.0,4.0,2.0,102.49097633795286,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.2233,0.6593,0.1174,0.5798,0.0536,0.3135,0.0371,0.001,0.0002,0.8312,0.321,0.1102,71602.0,0.0689,0.0659,0.0037,0.0476,0.182,25.0,7.0,6.46,Urban,3.0,2.0,1.0,2.0,2.0,30.572619465833675,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1989,0.6512,0.1499,0.7233,0.1505,0.0984,0.0107,0.0021,0.0001,0.8734,0.1896,0.1573,54697.0,0.0842,0.1538,0.0099,0.0276,0.2234,6.0,3.0,3.59,Urban,4.0,2.0,2.0,4.0,3.0,55.608872305884674,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.2503,0.6619,0.0878,0.7196,0.0636,0.1697,0.0315,0.0004,0.0,0.9317,0.3427,0.0545,85736.0,0.0532,0.0602,0.0032,0.0492,0.2701,3.0,1.0,0.82,Urban,3.0,1.0,1.0,3.0,1.0,40.34515693442677,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.207,0.6711,0.1219,0.6338,0.0664,0.2086,0.0685,0.0009,0.0004,0.8981,0.437,0.0885,79886.0,0.0696,0.0652,0.0019,0.0341,0.2103,23.0,9.0,7.11,Urban,2.0,2.0,1.0,2.0,1.0,36.84787093,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.202,0.6764,0.1216,0.8232,0.0122,0.1229,0.0264,0.0004,0.0001,0.9261,0.3325,0.0776,79836.0,0.0654,0.0652,0.0068,0.0685,0.2035,15.0,12.0,4.88,Urban,3.0,1.0,1.0,2.0,1.0,61.54687820556657,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1842,0.7017,0.1141,0.7996,0.0797,0.0468,0.0493,0.0012,0.0002,0.9564,0.4453,0.1418,63420.0,0.0466,0.0703,0.0051,0.0274,0.1545,6.0,3.0,5.19,Urban,2.0,2.0,1.0,4.0,2.0,38.09435857180787,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1862,0.6363,0.1775,0.7696,0.1403,0.0211,0.0118,0.0026,0.0,0.8962,0.2281,0.1873,47477.0,0.1011,0.1259,0.0022,0.061,0.2083,7.0,3.0,7.38,Urban,3.0,4.0,3.0,4.0,3.0,40.58890815837054,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1773,0.6356,0.1871,0.9643,0.0055,0.0105,0.0044,0.0011,0.0001,0.8996,0.1825,0.1295,52337.0,0.0937,0.1391,0.0234,0.0483,0.2555,3.0,3.0,6.45,Urban,4.0,3.0,3.0,4.0,3.0,55.93563099694505,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1846,0.6589,0.1565,0.8579,0.0823,0.0305,0.0089,0.0018,0.0003,0.9256,0.2566,0.1319,54573.0,0.0819,0.1001,0.0037,0.0502,0.2417,6.0,8.0,7.87,Urban,3.0,2.0,2.0,4.0,3.0,102.71443512683732,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1667,0.6119,0.2213,0.9504,0.0036,0.0307,0.0036,0.0021,0.0004,0.9184,0.1613,0.0989,54189.0,0.0592,0.0884,0.01,0.0505,0.1755,0.0,0.0,0.0,Urban,4.0,3.0,3.0,4.0,4.0,24.875621890547265,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1853,0.6336,0.1811,0.9598,0.0069,0.0138,0.0045,0.0024,0.0022,0.9195,0.2392,0.1267,60420.0,0.057,0.1058,0.0191,0.0748,0.2285,0.0,0.0,0.0,Urban,3.0,2.0,2.0,4.0,3.0,23.85496183206107,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1783,0.6189,0.2028,0.9602,0.0054,0.021,0.0029,0.0008,0.0,0.9189,0.1753,0.1029,55750.0,0.0614,0.0841,0.0213,0.0465,0.1638,0.0,0.0,0.0,Urban,4.0,2.0,2.0,4.0,3.0,25.045394778035188,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1875,0.6523,0.1602,0.9666,0.0029,0.0147,0.0069,0.0005,0.0,0.9539,0.2978,0.0443,72956.0,0.0461,0.0804,0.0109,0.0606,0.1954,1.0,1.0,2.97,Urban,2.0,1.0,1.0,3.0,1.0,35.60513900839688,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.2006,0.6498,0.1496,0.7081,0.1722,0.0447,0.0376,0.0029,0.0001,0.9026,0.298,0.1653,51632.0,0.0822,0.0955,0.0026,0.0328,0.1687,10.0,4.0,10.71,Urban,2.0,3.0,2.0,3.0,2.0,61.02195719898511,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1838,0.634,0.1822,0.9665,0.0039,0.0126,0.0046,0.0003,0.0,0.9524,0.2986,0.0566,69160.0,0.0629,0.0842,0.0425,0.0379,0.2197,1.0,1.0,0.0,Urban,2.0,2.0,2.0,3.0,2.0,24.288056348290727,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.187,0.6377,0.1752,0.7333,0.0924,0.1235,0.0226,0.0023,0.0003,0.8863,0.2204,0.151,50208.0,0.0774,0.1002,0.0019,0.0367,0.2004,6.0,4.0,2.73,Urban,3.0,3.0,2.0,4.0,3.0,27.297046459573075,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1996,0.662,0.1384,0.6239,0.2974,0.0377,0.0136,0.0016,0.0003,0.9054,0.2614,0.1762,50006.0,0.083,0.1096,0.0049,0.0385,0.232,7.0,6.0,8.66,Urban,3.0,3.0,2.0,4.0,3.0,39.16119727829679,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1897,0.6547,0.1556,0.8106,0.1253,0.0212,0.0175,0.0008,0.0003,0.9223,0.3432,0.1521,56742.0,0.0754,0.1207,0.0055,0.0286,0.1315,10.0,2.0,8.05,Urban,1.0,2.0,2.0,3.0,2.0,61.92137495657953,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1688,0.5892,0.242,0.9646,0.0072,0.0127,0.0058,0.0,0.0,0.877,0.1672,0.1343,52058.0,0.0685,0.1266,0.0687,0.0726,0.2233,0.0,0.0,0.0,Urban,4.0,3.0,3.0,3.0,3.0,17.123287671232877,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1917,0.6384,0.1699,0.9432,0.012,0.0221,0.0093,0.0018,0.0002,0.928,0.2501,0.0793,60178.0,0.0508,0.0831,0.0025,0.0528,0.2176,5.0,3.0,4.43,Urban,3.0,3.0,2.0,4.0,3.0,62.77695716395864,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.2,0.6255,0.1744,0.7918,0.1364,0.047,0.0089,0.0023,0.0003,0.8723,0.1396,0.1974,43552.0,0.0975,0.1404,0.01,0.0216,0.2553,5.0,1.0,8.79,Urban,4.0,4.0,4.0,4.0,4.0,66.57204225440569,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.2172,0.6712,0.1117,0.6523,0.11,0.1651,0.0509,0.0009,0.0002,0.9082,0.3345,0.0769,77507.0,0.0677,0.0708,0.0027,0.0577,0.2759,20.0,7.0,3.65,Urban,3.0,1.0,1.0,2.0,2.0,52.08804484532623,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1829,0.6422,0.1749,0.9044,0.0415,0.0242,0.0099,0.002,0.0003,0.9023,0.2208,0.1489,45902.0,0.0759,0.1475,0.0237,0.0372,0.1788,6.0,1.0,8.91,Urban,3.0,3.0,3.0,3.0,3.0,47.52287038137104,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1973,0.6465,0.1562,0.7071,0.123,0.1192,0.0251,0.0008,0.0001,0.8742,0.2241,0.1553,49468.0,0.1055,0.1221,0.0015,0.0281,0.1983,9.0,5.0,9.35,Urban,3.0,3.0,3.0,4.0,3.0,97.95912715994685,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.2053,0.6319,0.1629,0.9579,0.0051,0.017,0.0078,0.0004,0.0,0.9396,0.3044,0.0772,68040.0,0.0528,0.0755,0.027,0.0751,0.1944,0.0,1.0,0.0,Urban,3.0,2.0,1.0,4.0,2.0,40.89665925414717,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.2189,0.6499,0.1311,0.7492,0.1133,0.0706,0.0334,0.0014,0.0004,0.892,0.2737,0.1518,49574.0,0.0705,0.109,0.0016,0.0474,0.2009,16.0,11.0,9.85,Urban,2.0,2.0,2.0,3.0,2.0,23.798777235238603,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.2023,0.6482,0.1495,0.8389,0.019,0.0633,0.0572,0.0026,0.0013,0.9028,0.2968,0.1262,55874.0,0.052,0.1039,0.0018,0.0308,0.1511,4.0,4.0,7.48,Urban,2.0,3.0,2.0,3.0,2.0,38.651920751094096,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.2104,0.6269,0.1627,0.9286,0.0091,0.0516,0.0021,0.0002,0.0,0.8966,0.1706,0.1278,48069.0,0.046,0.1529,0.0627,0.0272,0.2644,1.0,1.0,0.0,Urban,4.0,4.0,2.0,4.0,3.0,22.96474911011597,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.225,0.6484,0.1265,0.9209,0.013,0.0259,0.0242,0.0017,0.0,0.9316,0.4451,0.0608,72774.0,0.0329,0.086,0.008,0.0674,0.3735,2.0,2.0,9.7,Urban,1.0,1.0,1.0,2.0,1.0,45.24594402430353,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.154,0.6355,0.2104,0.9598,0.0027,0.0154,0.0029,0.0007,0.0,0.8956,0.2347,0.1271,56323.0,0.0562,0.1005,0.0152,0.0473,0.1419,1.0,1.0,0.0,Urban,3.0,2.0,2.0,4.0,3.0,26.72903441363181,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1886,0.6338,0.1776,0.9425,0.0045,0.0394,0.0009,0.0017,0.0001,0.8796,0.1743,0.1081,54140.0,0.0692,0.1189,0.0,0.0504,0.1354,1.0,2.0,0.0,Urban,4.0,3.0,2.0,4.0,3.0,24.991253061428505,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1916,0.6663,0.1421,0.8427,0.0691,0.0512,0.0077,0.0007,0.0001,0.8789,0.202,0.0994,51844.0,0.0621,0.1353,0.0029,0.0435,0.2822,12.0,9.0,20.18,Urban,4.0,1.0,2.0,4.0,3.0,57.89829200038599,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1929,0.6427,0.1644,0.9657,0.0024,0.0129,0.0008,0.0014,0.0,0.8974,0.1693,0.1672,49735.0,0.0645,0.1594,0.0109,0.0274,0.1705,1.0,1.0,0.0,Urban,4.0,3.0,3.0,4.0,4.0,26.3474857,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1887,0.6603,0.151,0.9638,0.0084,0.0118,0.0042,0.002,0.0011,0.9063,0.1996,0.0931,60834.0,0.071,0.104,0.0013,0.0389,0.1889,8.0,8.0,18.16,Urban,4.0,2.0,2.0,3.0,3.0,80.72328059412335,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1548,0.6847,0.1605,0.8737,0.0599,0.0213,0.0129,0.0015,0.0004,0.8952,0.2329,0.2198,39537.0,0.0935,0.1387,0.0038,0.0318,0.1912,6.0,5.0,12.02,Urban,3.0,3.0,2.0,4.0,3.0,51.51850802400762,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.2344,0.6324,0.1332,0.7581,0.0544,0.15,0.0108,0.0014,0.0003,0.8051,0.1827,0.1486,49692.0,0.0645,0.1231,0.0021,0.024,0.1463,8.0,2.0,5.95,Urban,4.0,3.0,3.0,3.0,3.0,24.79666732791113,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1906,0.6646,0.1448,0.8849,0.0511,0.0298,0.0106,0.0029,0.0,0.8936,0.2693,0.1207,57494.0,0.0642,0.1217,0.0009,0.0537,0.1391,6.0,4.0,10.49,Urban,2.0,2.0,2.0,3.0,2.0,87.82278149,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.2372,0.6577,0.1051,0.8483,0.0354,0.0375,0.055,0.001,0.0001,0.9597,0.5628,0.0511,87782.0,0.0351,0.0553,0.0072,0.0541,0.1889,5.0,2.0,10.23,Urban,1.0,1.0,1.0,2.0,1.0,24.419057424383418,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.197,0.6552,0.1477,0.9337,0.0203,0.0208,0.0074,0.0026,0.0002,0.9415,0.2898,0.074,68449.0,0.0489,0.1098,0.0044,0.0667,0.1756,4.0,1.0,6.95,Urban,3.0,1.0,1.0,3.0,2.0,45.86199708150928,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1846,0.654,0.1613,0.9597,0.0007,0.0167,0.0078,0.0059,0.0,0.8867,0.169,0.1323,52926.0,0.0665,0.1548,0.0147,0.0324,0.1845,2.0,1.0,5.08,Urban,4.0,3.0,3.0,4.0,3.0,48.26009652019304,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.2136,0.6628,0.1237,0.8638,0.0588,0.0353,0.0242,0.0016,0.0,0.935,0.3469,0.0512,73042.0,0.05,0.0898,0.0024,0.0397,0.3672,6.0,2.0,8.98,Urban,2.0,1.0,1.0,3.0,1.0,34.65603881476347,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1888,0.632,0.1792,0.8608,0.0695,0.0305,0.0132,0.0031,0.0006,0.8849,0.1955,0.1679,45928.0,0.0761,0.1544,0.0022,0.0255,0.1659,7.0,3.0,8.46,Urban,3.0,3.0,3.0,4.0,3.0,71.31805434677497,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.2015,0.6425,0.156,0.918,0.0088,0.0591,0.0037,0.0,0.0,0.87,0.1654,0.0768,55485.0,0.0638,0.1094,0.064,0.0734,0.3021,1.0,1.0,5.98,Urban,4.0,2.0,2.0,3.0,2.0,23.90843071037925,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.2094,0.6533,0.1373,0.9078,0.0202,0.0333,0.0248,0.002,0.0001,0.915,0.295,0.0929,63023.0,0.0545,0.0827,0.0025,0.0463,0.2624,7.0,3.0,12.2,Urban,3.0,1.0,1.0,3.0,2.0,25.073356509246647,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.2014,0.6527,0.146,0.546,0.2424,0.1804,0.0134,0.002,0.0003,0.8759,0.2089,0.1757,50905.0,0.0958,0.1186,0.0015,0.0604,0.2059,23.0,10.0,8.17,Urban,4.0,2.0,2.0,3.0,3.0,49.009797875425264,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1808,0.6621,0.1571,0.8015,0.1085,0.0608,0.0055,0.0026,0.0001,0.8753,0.1759,0.1729,48165.0,0.0879,0.1163,0.007,0.0446,0.1976,2.0,0.0,7.21,Urban,4.0,3.0,3.0,4.0,3.0,31.53352013190021,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1824,0.6485,0.1691,0.8553,0.0775,0.0371,0.0042,0.0011,0.0008,0.8747,0.1739,0.1675,44795.0,0.0783,0.159,0.0055,0.0391,0.1999,12.0,6.0,13.86,Urban,4.0,2.0,3.0,4.0,3.0,67.76424204,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.211,0.6759,0.1131,0.5732,0.2711,0.0983,0.0269,0.0023,0.0002,0.8566,0.2902,0.2054,43369.0,0.0901,0.124,0.0011,0.043,0.1979,50.0,26.0,14.16,Urban,2.0,3.0,2.0,4.0,3.0,57.71652816845502,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1337,0.7536,0.1128,0.8451,0.0302,0.0326,0.0622,0.0022,0.0004,0.9223,0.4514,0.2497,43389.0,0.0662,0.0882,0.0045,0.0347,0.1544,12.0,6.0,10.47,Urban,2.0,3.0,1.0,4.0,2.0,34.195907657091816,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1928,0.6572,0.15,0.9643,0.0034,0.0141,0.0067,0.0007,0.0,0.8841,0.1553,0.1253,57521.0,0.0637,0.1404,0.0083,0.0817,0.1943,4.0,4.0,2.88,Urban,4.0,1.0,2.0,3.0,3.0,58.98941068139963,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1809,0.6437,0.1754,0.9194,0.0034,0.0591,0.005,0.0014,0.0016,0.8583,0.1054,0.133,50058.0,0.0722,0.117,0.1165,0.0422,0.1766,0.0,0.0,7.13,Urban,5.0,2.0,3.0,4.0,3.0,28.52660105548424,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1706,0.6355,0.1939,0.968,0.0232,0.0062,0.0,0.0,0.0,0.8859,0.1385,0.067,54653.0,0.0591,0.1048,0.0,0.0155,0.1022,0.0,0.0,0.0,Urban,4.0,2.0,3.0,4.0,3.0,33.31667499583541,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1739,0.6531,0.173,0.9653,0.0047,0.0117,0.0049,0.0028,0.0,0.8427,0.1201,0.1478,45388.0,0.0681,0.1688,0.0043,0.0289,0.1263,3.0,2.0,0.0,Urban,4.0,3.0,3.0,5.0,4.0,23.766517729822223,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
