Percent-of-Population-Under-15-(2013-2017),Percent-of-Population-Aged-15-to-64-(2013-2017),Percent-of-Population-65+-(2013-2017),Percent-of-Population-White-(non-Hispanic)-(2013-2017),Percent-of-Populaiton-Black-(non-Hispanic)-(2013-2017),Percent-of-Population-Hispanic-or-Latino-(2013-2017),Percent-of-Population-Asian-(non-Hispanic)-(2013-2017),Percent-of-Population-Native-American/Alaska-Native-(non-Hispanic)-(2013-2017),Percent-of-Population-Native-Hawaiian/Pacific-Islander-(2013-2017),Percent-of-Population-Aged-25+-who-Have-at-Least-a-High-School-Diploma-(2013-2017),Percent-of-Population-Aged-25+-who-Have-a-Bachelor's-Degree-or-More-(2013-2017),Poverty-Rate-(2013-2017),Median-Household-Income-(2013-2017),Unemployment-Rate-(2013-2017),Percent-of-Residents-with-a-Disability-(Aged-18-64)-(2013-2017),Percent-of-Popualtion-Employed-in-Mining-and-Natural-Resources-(2013-2017),Percent-of-Popualtion-Employed-in-Construction-(2013-2017),Percent-of-Popualtion-Employed-in-Trade-Transportation-and-Utilities-(2013-2017),Number-of-Substance-Use-Facilities-(As-of-March-2023),Number-of-Mental-Health-Facilities-(As-of-March-2023),MDsPerCapita,Urbanicity,Social-Resilience-Score,Economic-Risk-Score,Social-Risk-Score,Economic-Resilience-Score,Prosperity-Index-Score,death-rate-2013-2016,goodsam-law,goodsam-cs_Arrest,goodsam-cs_Charge,goodsam-cs_Prosecution,goodsam-cs_Law provides an affirmative defense,goodsam-cs_None,goodsam-paraphernalia_Arrest,goodsam-paraphernalia_Charge,goodsam-paraphernalia_Prosecution,goodsam-paraphernalia_Law provides an affirmative defense,goodsam-paraphernalia_None,goodsam-paroleyn,goodsam-parole_Protection from arrest,goodsam-parole_Protection from charge,goodsam-parole_Protection from prosecution,goodsam-parole_Protection from revocation of probation and/or parole,goodsam-parole_General protection from sanctions for violation of probation and/or parole,goodsam-mitigation,goodsam-mit-type_Controlled substances offenses,goodsam-mit-type_Alcohol-related offenses,goodsam-mit-type_Other offenses beyond controlled substances and alcohol-related violations
0.1893,0.6341,0.1766,0.3997,0.5828,0.0121,0.0011,0.0032,0.0006,0.814,0.1403,0.2591,33351.0,0.1206,0.2054,0.0745,0.0545,0.1332,0.0,1.0,6.6,Urban,4.0,4.0,5.0,5.0,5.0,26.38696483936935,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1733,0.6204,0.2063,0.6856,0.2789,0.0253,0.0,0.0,0.0,0.807,0.1614,0.1528,41045.0,0.0753,0.1891,0.1077,0.06,0.2097,0.0,2.0,0.0,Urban,4.0,2.0,3.0,4.0,4.0,23.27340432,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1969,0.6427,0.1605,0.6745,0.2637,0.0319,0.0082,0.0034,0.0002,0.849,0.2102,0.1888,41945.0,0.0807,0.1634,0.0032,0.0432,0.2794,5.0,11.0,16.36,Urban,3.0,3.0,3.0,3.0,3.0,8.662925566,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1933,0.6636,0.1431,0.5067,0.4234,0.0369,0.015,0.0017,0.0003,0.8899,0.3144,0.181,47220.0,0.0822,0.1362,0.005,0.0444,0.2077,12.0,11.0,15.02,Urban,1.0,3.0,2.0,3.0,2.0,91.64067146515832,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1668,0.6501,0.1831,0.8499,0.0976,0.0239,0.0068,0.004,0.0002,0.8486,0.2168,0.1828,43657.0,0.0764,0.1313,0.0059,0.0448,0.2269,5.0,2.0,5.4,Urban,2.0,2.0,2.0,4.0,3.0,12.953228052374218,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1837,0.6548,0.1615,0.7666,0.1137,0.0207,0.0009,0.0494,0.0,0.7754,0.1031,0.1828,42339.0,0.0832,0.1915,0.0348,0.0445,0.222,0.0,1.0,5.98,Urban,5.0,3.0,4.0,5.0,4.0,26.91951066311728,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1808,0.716,0.1032,0.6787,0.2309,0.0369,0.0355,0.0012,0.0001,0.8871,0.3441,0.2301,45056.0,0.0607,0.11,0.0065,0.0336,0.1819,1.0,2.0,3.25,Urban,3.0,2.0,1.0,4.0,3.0,5.846167836982858,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1915,0.6694,0.1391,0.7744,0.1267,0.0569,0.0123,0.0058,0.0001,0.8316,0.2326,0.141,51115.0,0.0794,0.1398,0.0183,0.0982,0.1903,2.0,1.0,4.43,Urban,4.0,1.0,2.0,3.0,2.0,16.619209590391883,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1921,0.6345,0.1734,0.244,0.7464,0.0047,0.0,0.0008,0.0,0.7481,0.1228,0.2869,27914.0,0.1227,0.2266,0.0521,0.053,0.1379,0.0,0.0,0.0,Urban,3.0,5.0,4.0,5.0,5.0,28.39564600094652,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1845,0.6788,0.1367,0.6543,0.2398,0.0468,0.0244,0.0055,0.0009,0.9081,0.4067,0.1327,60150.0,0.0733,0.1044,0.0017,0.027,0.1435,14.0,8.0,10.0,Urban,2.0,1.0,1.0,3.0,2.0,12.858134770396571,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
