percent_of_population_under_15_(2013_2017),percent_of_population_aged_15_to_64_(2013_2017),percent_of_population_65plus_(2013_2017),percent_of_population_white_(non_hispanic)_(2013_2017),percent_of_populaiton_black_(non_hispanic)_(2013_2017),percent_of_population_hispanic_or_latino_(2013_2017),percent_of_population_asian_(non_hispanic)_(2013_2017),percent_of_population_native_american_alaska_native_(non_hispanic)_(2013_2017),percent_of_population_native_hawaiian_pacific_islander_(2013_2017),percent_of_population_aged_25plus_who_have_at_least_a_high_school_diploma_(2013_2017),percent_of_population_aged_25plus_who_have_a_bachelor's_degree_or_more_(2013_2017),poverty_rate_(2013_2017),median_household_income_(2013_2017),unemployment_rate_(2013_2017),percent_of_residents_with_a_disability_(aged_18_64)_(2013_2017),percent_of_popualtion_employed_in_mining_and_natural_resources_(2013_2017),percent_of_popualtion_employed_in_construction_(2013_2017),percent_of_popualtion_employed_in_trade_transportation_and_utilities_(2013_2017),number_of_substance_use_facilities_(as_of_march_2023),number_of_mental_health_facilities_(as_of_march_2023),mdspercapita,urbanicity,social_resilience_score,economic_risk_score,social_risk_score,economic_resilience_score,prosperity_index_score,delta_death_rate,m_enforce,ad_providers_Physicians,m_providers_Physicians,PDMP_any,PDMP_strestOnly if other state has PDMP laws consistent with or similar to this state,m_disc_specifics_Risks of the use of the drug,mmps-cann_THC,mmps-cpa_Independent third parties,PDMP_regkindPhysician prescribers,PDMP_Medicaid,m_write,PDMP_regawhen_Prior to accessing the PDMP,PDMP_proactNo action specified in the law,PDMP_regkindPhysician assistants,ad_disc_specifics_Risks of the use of the drug,PDMP_regkind_Optometrists,PDMP_agency_Professional licensing authority,PDMP_strest_Must have bilateral memorandum of understanding or data sharing agreement,mmps-label_Product potency,PDMP_leowhenActive investigations,PDMP_regkindNurse Practitioners,diff_std,m_law,PDMP_regkind_Pharmacists,PDMP_drepschSchedule V,PDMP_regkind_Podiatrists,ad_write,adult_law,PDMP_regkind_Dentists,PDMP_mimm,PDMP_agencyDepartment of Health 
0.1893,0.6341,0.1766,0.3997,0.5828,0.0121,0.0011,0.0032,0.0006,0.814,0.1403,0.2591,33351.0,0.1206,0.2054,0.0745,0.0545,0.1332,0.0,1.0,6.6,1.0,4.0,4.0,5.0,5.0,5.0,7.353503478330897,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1733,0.6204,0.2063,0.6856,0.2789,0.0253,0.0,0.0,0.0,0.807,0.1614,0.1528,41045.0,0.0753,0.1891,0.1077,0.06,0.2097,0.0,2.0,0.0,1.0,4.0,2.0,3.0,4.0,4.0,11.68144566543548,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1969,0.6427,0.1605,0.6745,0.2637,0.0319,0.0082,0.0034,0.0002,0.849,0.2102,0.1888,41945.0,0.0807,0.1634,0.0032,0.0432,0.2794,5.0,11.0,16.36,1.0,3.0,3.0,3.0,3.0,3.0,18.604245700042966,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1933,0.6636,0.1431,0.5067,0.4234,0.0369,0.015,0.0017,0.0003,0.8899,0.3144,0.181,47220.0,0.0822,0.1362,0.005,0.0444,0.2077,12.0,11.0,15.02,1.0,1.0,3.0,2.0,3.0,2.0,24.48452368761842,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1668,0.6501,0.1831,0.8499,0.0976,0.0239,0.0068,0.004,0.0002,0.8486,0.2168,0.1828,43657.0,0.0764,0.1313,0.0059,0.0448,0.2269,5.0,2.0,5.4,1.0,2.0,2.0,2.0,4.0,3.0,7.402024674158319,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1837,0.6548,0.1615,0.7666,0.1137,0.0207,0.0009,0.0494,0.0,0.7754,0.1031,0.1828,42339.0,0.0832,0.1915,0.0348,0.0445,0.222,0.0,1.0,5.98,1.0,5.0,3.0,4.0,5.0,4.0,0.2798607268827204,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1808,0.716,0.1032,0.6787,0.2309,0.0369,0.0355,0.0012,0.0001,0.8871,0.3441,0.2301,45056.0,0.0607,0.11,0.0065,0.0336,0.1819,1.0,2.0,3.25,1.0,3.0,2.0,1.0,4.0,3.0,10.992465794994288,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1915,0.6694,0.1391,0.7744,0.1267,0.0569,0.0123,0.0058,0.0001,0.8316,0.2326,0.141,51115.0,0.0794,0.1398,0.0183,0.0982,0.1903,2.0,1.0,4.43,1.0,4.0,1.0,2.0,3.0,2.0,-1.799564669,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1921,0.6345,0.1734,0.244,0.7464,0.0047,0.0,0.0008,0.0,0.7481,0.1228,0.2869,27914.0,0.1227,0.2266,0.0521,0.053,0.1379,0.0,0.0,0.0,1.0,3.0,5.0,4.0,5.0,5.0,10.311534180977231,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1845,0.6788,0.1367,0.6543,0.2398,0.0468,0.0244,0.0055,0.0009,0.9081,0.4067,0.1327,60150.0,0.0733,0.1044,0.0017,0.027,0.1435,14.0,8.0,10.0,1.0,2.0,1.0,1.0,3.0,2.0,41.83257487427082,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1986,0.6559,0.1454,0.5785,0.352,0.0264,0.0194,0.0061,0.0001,0.8578,0.2251,0.1947,44263.0,0.087,0.1369,0.0064,0.0584,0.2121,11.0,2.0,8.93,1.0,3.0,3.0,3.0,4.0,3.0,20.48633457504958,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1945,0.673,0.1326,0.3594,0.5669,0.0331,0.0223,0.0013,0.0001,0.8551,0.3146,0.2131,45358.0,0.0845,0.1487,0.001,0.0317,0.1681,4.0,2.0,6.6,1.0,2.0,3.0,3.0,4.0,3.0,13.06084141674006,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1909,0.6516,0.1575,0.7662,0.1205,0.0781,0.0067,0.0053,0.0,0.8249,0.2143,0.1631,46883.0,0.0893,0.1423,0.0028,0.0633,0.181,3.0,3.0,10.04,1.0,4.0,3.0,3.0,4.0,4.0,34.068064664415246,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1705,0.6502,0.1792,0.5485,0.4177,0.0242,0.0006,0.0012,0.0004,0.811,0.1112,0.2393,31679.0,0.1232,0.2357,0.0634,0.0169,0.1345,0.0,0.0,4.99,1.0,5.0,4.0,5.0,4.0,5.0,11.434926363576196,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.212,0.6619,0.126,0.4872,0.4202,0.0507,0.0068,0.0037,0.0022,0.8256,0.1701,0.2154,38400.0,0.0943,0.1604,0.0076,0.0447,0.1904,2.0,0.0,1.71,1.0,5.0,4.0,4.0,5.0,5.0,34.059023988220595,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1908,0.6567,0.1525,0.863,0.0935,0.0227,0.008,0.0028,0.0,0.8348,0.161,0.137,54042.0,0.064,0.152,0.0036,0.0612,0.2411,1.0,1.0,6.93,1.0,4.0,2.0,3.0,4.0,3.0,48.81992275808104,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2008,0.6695,0.1297,0.789,0.1156,0.0576,0.0198,0.0019,0.0003,0.9157,0.4142,0.0849,72310.0,0.0462,0.0947,0.0067,0.0611,0.2282,3.0,2.0,9.23,1.0,2.0,1.0,1.0,2.0,1.0,15.57378387086886,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1755,0.7073,0.1172,0.6298,0.3096,0.0329,0.015,0.0013,0.0001,0.8814,0.2937,0.1796,48022.0,0.0699,0.1043,0.0227,0.0438,0.1651,4.0,3.0,5.93,1.0,4.0,2.0,2.0,3.0,3.0,26.05483898690052,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1822,0.6365,0.1813,0.8956,0.0566,0.0226,0.0046,0.0005,0.0,0.7855,0.1054,0.2193,37025.0,0.1099,0.2382,0.032,0.0289,0.2384,5.0,1.0,15.25,1.0,4.0,3.0,5.0,4.0,4.0,12.467009678150724,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2099,0.7006,0.0895,0.5984,0.0531,0.0872,0.088,0.0671,0.0223,0.9329,0.343,0.081,80862.0,0.0605,0.0966,0.019,0.048,0.2227,22.0,18.0,27.73,1.0,1.0,2.0,1.0,2.0,1.0,24.094152073524405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.2097,0.712,0.0784,0.7153,0.0398,0.0747,0.0288,0.06,0.005,0.9439,0.3337,0.0776,73831.0,0.0846,0.0927,0.0296,0.0745,0.2115,6.0,7.0,10.98,1.0,2.0,2.0,1.0,3.0,2.0,6.041221752380022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.2279,0.6765,0.0956,0.8037,0.0098,0.0452,0.0133,0.0504,0.0018,0.924,0.2059,0.0967,73908.0,0.0986,0.1173,0.0075,0.0888,0.2163,5.0,8.0,19.25,1.0,3.0,3.0,1.0,3.0,2.0,11.829273020018944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.1859,0.6166,0.1976,0.563,0.0371,0.344,0.0173,0.0082,0.0028,0.8659,0.2316,0.1893,45383.0,0.0857,0.1468,0.0325,0.0346,0.1711,12.0,19.0,10.14,1.0,3.0,3.0,2.0,4.0,3.0,5.286169218583829,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.1797,0.7116,0.1087,0.5462,0.0134,0.1371,0.0168,0.2595,0.0011,0.8891,0.3421,0.2216,51106.0,0.0824,0.0997,0.003,0.0349,0.1579,9.0,10.0,14.49,1.0,2.0,3.0,1.0,3.0,2.0,40.46786173039154,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.2085,0.6531,0.1384,0.5692,0.0501,0.3029,0.0376,0.0154,0.0019,0.8695,0.3097,0.1652,55676.0,0.0681,0.0871,0.0045,0.0543,0.1979,156.0,178.0,13.33,1.0,2.0,2.0,2.0,3.0,2.0,52.971082778606586,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.1531,0.5783,0.2686,0.7825,0.0095,0.1571,0.0115,0.0189,0.0014,0.8385,0.1188,0.1932,39856.0,0.1168,0.1889,0.0111,0.0486,0.2338,17.0,14.0,12.28,1.0,4.0,3.0,5.0,4.0,4.0,-16.72293566,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.1813,0.6407,0.178,0.5327,0.032,0.3611,0.0259,0.0238,0.0013,0.8775,0.308,0.1909,46764.0,0.0921,0.1219,0.0076,0.0422,0.1661,63.0,58.0,13.36,1.0,2.0,2.0,2.0,4.0,2.0,30.963409639852543,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.2038,0.614,0.1823,0.5789,0.0433,0.2919,0.0166,0.0461,0.0033,0.8492,0.1847,0.1647,51190.0,0.0943,0.1265,0.0613,0.0298,0.1623,23.0,24.0,9.05,1.0,4.0,1.0,2.0,4.0,3.0,33.07220951867212,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.1417,0.5755,0.2827,0.8116,0.0052,0.1405,0.008,0.0155,0.0002,0.9017,0.2554,0.1468,46638.0,0.0853,0.1549,0.022,0.0624,0.2056,25.0,20.0,21.96,1.0,2.0,2.0,3.0,3.0,2.0,53.05448946460544,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.218,0.6081,0.1739,0.3275,0.018,0.6197,0.0115,0.0088,0.0013,0.7172,0.1439,0.2048,41467.0,0.1246,0.0851,0.2009,0.0354,0.1575,10.0,15.0,6.89,1.0,5.0,4.0,3.0,5.0,4.0,10.355273578171044,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.2283,0.6439,0.1278,0.7474,0.0143,0.1607,0.0352,0.013,0.0043,0.8723,0.3072,0.1138,59016.0,0.0344,0.0776,0.0062,0.0386,0.2334,3.0,5.0,4.08,1.0,3.0,1.0,1.0,3.0,2.0,-6.942126177,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
