percent_of_population_under_15_(2013_2017),percent_of_population_aged_15_to_64_(2013_2017),percent_of_population_65plus_(2013_2017),percent_of_population_white_(non_hispanic)_(2013_2017),percent_of_populaiton_black_(non_hispanic)_(2013_2017),percent_of_population_hispanic_or_latino_(2013_2017),percent_of_population_asian_(non_hispanic)_(2013_2017),percent_of_population_native_american_alaska_native_(non_hispanic)_(2013_2017),percent_of_population_native_hawaiian_pacific_islander_(2013_2017),percent_of_population_aged_25plus_who_have_at_least_a_high_school_diploma_(2013_2017),percent_of_population_aged_25plus_who_have_a_bachelor's_degree_or_more_(2013_2017),poverty_rate_(2013_2017),median_household_income_(2013_2017),unemployment_rate_(2013_2017),percent_of_residents_with_a_disability_(aged_18_64)_(2013_2017),percent_of_popualtion_employed_in_mining_and_natural_resources_(2013_2017),percent_of_popualtion_employed_in_construction_(2013_2017),percent_of_popualtion_employed_in_trade_transportation_and_utilities_(2013_2017),number_of_substance_use_facilities_(as_of_march_2023),number_of_mental_health_facilities_(as_of_march_2023),mdspercapita,urbanicity,social_resilience_score,economic_risk_score,social_risk_score,economic_resilience_score,prosperity_index_score,delta_death_rate,m_enforce,ad_providers_Physicians,m_providers_Physicians,PDMP_any,PDMP_strestOnly if other state has PDMP laws consistent with or similar to this state,m_disc_specifics_Risks of the use of the drug,mmps-cann_THC,mmps-cpa_Independent third parties,PDMP_regkindPhysician prescribers,PDMP_Medicaid,m_write,PDMP_regawhen_Prior to accessing the PDMP,PDMP_proactNo action specified in the law,PDMP_regkindPhysician assistants,ad_disc_specifics_Risks of the use of the drug,PDMP_regkind_Optometrists,PDMP_agency_Professional licensing authority,PDMP_strest_Must have bilateral memorandum of understanding or data sharing agreement,mmps-label_Product potency,PDMP_leowhenActive investigations,PDMP_regkindNurse Practitioners,diff_std,m_law,PDMP_regkind_Pharmacists,PDMP_drepschSchedule V,PDMP_regkind_Podiatrists,ad_write,adult_law,PDMP_regkind_Dentists,PDMP_mimm,PDMP_agencyDepartment of Health ,population
0.1872,0.6044,0.2084,0.7775,0.0131,0.1987,0.0027,0,0,0.8317,0.1823,0.111,48684,0.0159,0.1347,0.128,0.0348,0.2212,0,0,0,0,3,4,4,2,3,0.7390108224670797,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,645
0.1681,0.5541,0.2778,0.9131,0.0011,0.0402,0.0049,0.0197,0,0.9043,0.1678,0.1736,37393,0.0582,0.1813,0.0452,0.0102,0.1077,0,0,0,0,3,3,3,4,3,2.600836268892614,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,412
0.1931,0.5626,0.2442,0.931,0.0097,0.0336,0.0078,0.0034,0,0.9192,0.2244,0.0919,46681,0.0185,0.0982,0.0958,0.0291,0.2346,0,0,37.29,0,2,2,2,1,1,-1.236581079,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,545
0.161,0.5817,0.2573,0.8925,0.0303,0.0314,0.0147,0.0016,0,0.9377,0.2545,0.1033,45982,0.0164,0.1506,0.1203,0,0.1926,0,0,0,0,2,2,3,2,2,2.111718481569625,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,480
0.1789,0.596,0.2251,0.7628,0.0065,0.2081,0.0016,0.0049,0,0.883,0.2959,0.0705,47000,0.0118,0.1376,0.1099,0.014,0.2571,0,0,0,0,1,4,4,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,222
0.2583,0.6241,0.1176,0.6287,0.0023,0.3592,0,0.0008,0,0.8116,0.1628,0.1099,48523,0.0183,0.0707,0.4662,0,0.1496,0,0,0,0,5,4,4,2,4,-0.075730909,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,674
0.2383,0.6256,0.136,0.6856,0,0.289,0.0024,0.0193,0.0002,0.7097,0.1766,0.129,55453,0.039,0.0599,0.3963,0.0289,0.1152,0,1,0,0,3,4,4,1,3,1.8272054289104105,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,941
0.1772,0.5878,0.235,0.8989,0,0.0703,0.0167,0.0016,0,0.9342,0.2572,0.0574,56250,0.0138,0.1243,0.076,0,0.1661,0,0,0,0,2,3,3,2,2,54.02485143165856,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,337
0.1602,0.5631,0.2767,0.956,0.0013,0.0236,0.0037,0.002,0.0007,0.9442,0.1531,0.1526,37750,0.0219,0.1184,0.0308,0,0.2986,0,0,0,0,4,4,3,2,3,0.8646404299999944,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,512
0.2475,0.6125,0.14,0.6543,0.0076,0.3051,0.0043,0,0,0.7749,0.1426,0.1258,49396,0.0233,0.0903,0.193,0,0.1416,0,0,0,0,3,4,3,2,3,-0.479588554,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,871
0.1806,0.6274,0.1921,0.8976,0.0091,0.0603,0.0143,0.0016,0,0.9172,0.2733,0.1087,44896,0.0385,0.107,0.0485,0.0566,0.1764,1,2,0,0,2,2,2,2,2,1.0175010174603258,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,466
0.179,0.61,0.211,0.9366,0.0053,0.0528,0,0.0041,0,0.9308,0.2126,0.0885,58077,0.0358,0.1412,0.0788,0.0027,0.2473,1,0,0,0,2,2,4,1,2,66.48936170212765,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,375
0.1892,0.5983,0.2125,0.9499,0.0096,0.0268,0.001,0.0064,0,0.945,0.1921,0.108,49583,0.0658,0.1101,0.0083,0.0285,0.205,0,0,0,0,2,3,2,3,2,1.967234094804251,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,558
0.195,0.6025,0.2025,0.9089,0,0.0504,0.0011,0.0043,0,0.931,0.1834,0.0957,48205,0.0361,0.0655,0.0367,0.0061,0.1957,0,0,35.71,0,2,2,4,2,2,0.2957971089047788,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,618
0.2114,0.61,0.1787,0.8193,0.0067,0.1517,0.0088,0,0,0.8551,0.2199,0.1413,52960,0.024,0.0679,0.1637,0.0583,0.2642,0,0,0,0,2,3,3,2,2,25.70985820709629,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,890
0.1757,0.6508,0.1734,0.7346,0.0063,0.2143,0.0013,0.0016,0,0.8758,0.1432,0.1009,44100,0.0793,0.1552,0.0786,0,0.1651,0,0,32.97,0,3,4,5,3,4,3.472492571989939,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,577
0.1736,0.5868,0.2396,0.8786,0.0049,0.104,0.0016,0.0016,0,0.9147,0.2015,0.113,47298,0.0331,0.0847,0.1782,0.0316,0.2535,0,0,0,0,2,3,3,1,2,3.986133566826389,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,566
0.1767,0.575,0.2483,0.9552,0.008,0.0184,0.0077,0.0053,0,0.9132,0.2099,0.1742,41432,0.0376,0.1463,0.0023,0.0183,0.3028,1,1,0,0,3,2,4,2,3,1.7786626159779289,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,727
0.1658,0.5682,0.2659,0.9249,0.0023,0.0532,0.0012,0.011,0,0.9374,0.2387,0.081,49327,0.024,0.1024,0.0463,0.0647,0.2372,0,0,0,0,2,3,3,1,2,0.4017449948367968,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,501
0.1644,0.5623,0.2733,0.9637,0.0013,0.0151,0.0069,0.0013,0,0.9414,0.2098,0.1137,41489,0.0359,0.0984,0.0419,0.0433,0.2086,0,1,0,0,2,3,3,1,2,21.51675428,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,848
0.1698,0.5856,0.2446,0.945,0.0003,0.0315,0.0035,0.0038,0,0.9138,0.2373,0.0747,40395,0.0524,0.1576,0.0323,0.0427,0.1771,0,0,0,0,2,2,3,2,2,2.879475103918576,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,599
0.1927,0.5773,0.23,0.9421,0.0016,0.0404,0,0.0139,0,0.9144,0.2287,0.061,50822,0.014,0.0931,0.1198,0,0.2587,0,0,0,0,1,2,2,1,1,1.015867201094366,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,597
0.1532,0.5785,0.2683,0.9724,0.0019,0.0189,0.0019,0,0,0.9159,0.2196,0.1387,43913,0.0356,0.1181,0.0413,0.0176,0.2688,0,0,27.02,0,1,2,2,2,2,0.8509556457819549,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,685
0.1944,0.6008,0.2047,0.8389,0.0082,0.1328,0.004,0.0019,0,0.8794,0.2171,0.158,46830,0.0352,0.1272,0.1271,0.0189,0.0848,0,0,0,0,3,3,5,2,3,25.36653563844762,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,831
0.227,0.5967,0.1764,0.6217,0.0085,0.3286,0,0.0028,0,0.8106,0.2481,0.0734,44567,0.0106,0.0726,0.1186,0.0028,0.2972,0,0,47.28,0,4,5,2,2,3,0.6113964294448522,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,408
0.1561,0.602,0.2419,0.9614,0.001,0.0082,0.0048,0.0137,0,0.9422,0.2584,0.0432,54630,0.014,0.0832,0.113,0.024,0.1934,0,0,0,0,2,2,3,1,2,1.2335563584955764,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,567
0.226,0.5669,0.2071,0.9438,0,0.048,0.0006,0,0,0.8982,0.2488,0.1016,45804,0.0663,0.1366,0.1357,0,0.2473,0,0,0,0,2,3,2,2,2,65.40222367560497,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,352
0.2408,0.5618,0.1974,0.6518,0.0037,0.3307,0,0.0037,0,0.8089,0.1827,0.0599,57596,0.0258,0.0946,0.2247,0.0175,0.181,0,0,46.13,0,4,3,2,1,2,0.3861666523641887,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,419
0.1745,0.6017,0.2238,0.9344,0.0063,0.0273,0.0025,0.0038,0,0.8979,0.1373,0.2322,35321,0.0571,0.1827,0.1179,0.0055,0.1819,0,1,0,0,5,3,4,3,4,0.2382339242725812,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,666
0.1648,0.6016,0.2336,0.8742,0.0917,0.0087,0.007,0,0,0.7518,0.0878,0.1677,39756,0.0721,0.2209,0.0821,0,0.1413,0,0,0,0,4,3,4,5,4,22.842442359311296,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,941
0.1515,0.5911,0.2574,0.963,0.0151,0.0151,0,0.0014,0,0.7492,0.1695,0.244,30964,0.0582,0.1564,0,0.0112,0.0997,0,0,0,0,5,4,5,5,5,-0.103919079,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,481
0.2084,0.5907,0.2009,0.4214,0.5562,0.0173,0,0,0,0.7668,0.0908,0.3383,22385,0.1497,0.1141,0.1542,0.0067,0.2098,0,0,0,0,3,5,4,5,5,25.98561960051116,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,908
0.1481,0.5408,0.3112,0.9768,0.0064,0.0109,0.0014,0.0041,0,0.9439,0.2485,0.1701,41472,0.0664,0.1368,0.0129,0.0257,0.1663,0,0,0,0,2,2,2,2,2,3.174856909421102,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,349
0.1004,0.583,0.3166,0.9549,0.0028,0.012,0.0076,0.0099,0.0005,0.9169,0.1736,0.1523,35038,0.1196,0.1544,0.0108,0.0528,0.2773,1,1,0,0,3,3,3,2,3,1.5088930427567462,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,796
0.1714,0.5722,0.2564,0.978,0.0018,0.0126,0,0,0,0.8959,0.1658,0.1134,47132,0.0229,0.1029,0.0197,0.1059,0.1782,0,0,19.62,0,2,3,3,1,2,19.181748685987426,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,934
0.1706,0.5958,0.2335,0.9626,0.0061,0.0194,0.0038,0.002,0,0.9183,0.2067,0.1118,51484,0.0274,0.1029,0.035,0.019,0.2443,0,0,0,0,2,3,2,1,1,24.929278755674243,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,789
0.1548,0.627,0.2181,0.9398,0.001,0.0123,0.0115,0.0031,0,0.8969,0.1698,0.0812,45732,0.0389,0.1012,0.0393,0.0052,0.1651,0,0,0,0,1,2,2,1,1,0.9825289298479164,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,705
0.2113,0.6014,0.1873,0.9285,0.0049,0.0319,0.0025,0.0156,0,0.9208,0.1502,0.1042,49800,0.0397,0.0992,0,0.0433,0.2352,0,0,0,0,3,3,2,4,3,0.7634704261212377,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,902
0.1593,0.5779,0.2629,0.9099,0.0044,0.0227,0,0.0403,0,0.9075,0.1814,0.0923,50333,0.0444,0.1174,0.0907,0.0327,0.3091,0,0,0,0,3,2,3,2,3,0.3064606983691504,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,628
0.1368,0.6768,0.1864,0.392,0.6021,0.0059,0,0,0,0.6651,0.0901,0.4039,24306,0.1072,0.1804,0,0,0.0746,0,0,0,0,5,5,5,3,5,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,484
0.2048,0.645,0.1502,0.255,0.7357,0.0039,0.0041,0.0009,0,0.7467,0.1897,0.3145,28878,0.2316,0.2093,0.1684,0.0119,0.2001,1,1,0,0,4,5,5,4,5,26.62690162690163,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,950
0.1717,0.6035,0.2248,0.9652,0.004,0.002,0.0068,0.0093,0,0.9037,0.2009,0.139,41017,0.0455,0.1203,0.0457,0.0213,0.2424,0,0,0,0,3,2,3,3,3,24.5247779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887
0.1891,0.605,0.2059,0.965,0.0035,0.0098,0.0023,0,0.0068,0.8618,0.1551,0.201,38816,0.0608,0.1824,0.0323,0.0156,0.1672,0,0,0,0,4,3,5,4,4,1.4222724155755664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745
0.1972,0.5964,0.2064,0.9635,0.0046,0.0127,0.0051,0,0.0014,0.8883,0.1686,0.1462,41817,0.0457,0.0889,0,0.0071,0.0745,0,0,0,0,3,3,2,5,4,1.0695737225307305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704
0.1788,0.5901,0.2311,0.967,0.0035,0.0141,0.0057,0.0014,0,0.8846,0.1844,0.1873,38125,0.0271,0.1797,0.0252,0,0.2608,0,0,20.5,0,4,3,4,5,4,21.91340703468637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872
0.212,0.5983,0.1897,0.9745,0.0107,0.0034,0,0.0007,0,0.8666,0.1255,0.2208,37583,0.0596,0.1427,0,0.0458,0.2158,0,0,0,0,4,4,4,5,4,26.104025820871048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941
0.1655,0.5939,0.2407,0.9622,0,0.016,0,0,0,0.8913,0.1733,0.1307,44974,0.042,0.1121,0.0075,0,0.2349,0,0,0,0,3,3,3,4,4,1.380063739999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407
0.1714,0.5792,0.2494,0.966,0,0.0139,0,0.0039,0,0.9201,0.1714,0.1269,46985,0.0266,0.0924,0.0059,0.0074,0.1804,0,0,77.22,0,2,3,4,2,3,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,255
0.1522,0.6072,0.2406,0.9687,0,0.0213,0,0.0101,0,0.9483,0.2373,0.0478,51108,0.0203,0.0446,0,0.032,0.1851,0,0,0,0,1,3,1,1,1,57.50431282346176,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,354
0.23,0.6117,0.1583,0.9447,0.013,0.0172,0.0086,0.0069,0,0.9616,0.1476,0.0694,50114,0.0289,0.0898,0.2373,0.1003,0.2194,1,0,0,0,2,2,1,1,1,-1.797966221,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,724
0.1734,0.5862,0.2403,0.9925,0,0.0075,0,0,0,0.9367,0.1464,0.0669,42614,0,0.0767,0.052,0,0.2231,0,0,0,0,1,2,4,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,213
0.1562,0.5986,0.2452,0.9027,0,0.0671,0,0,0,0.9337,0.2356,0.163,44000,0.0254,0.113,0.2867,0,0.0198,0,0,0,1,3,2,3,3,3,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,89
0.1463,0.5694,0.2842,0.9471,0.0006,0.0199,0.0006,0.0059,0,0.8948,0.2501,0.1445,48688,0.0741,0.1478,0.0709,0.0291,0.15,0,0,0,0,2,2,2,1,1,-1.130250011,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,533
0.1242,0.6391,0.2367,0.9707,0,0.0151,0,0.0111,0,0.9485,0.3134,0.1257,45347,0.0289,0.0883,0.1646,0.027,0.1533,0,0,0,0,2,3,1,2,2,-0.57935618,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,369
0.1623,0.6147,0.2229,0.9682,0,0.0074,0,0.0127,0,0.7916,0.184,0.1543,46597,0.0549,0.1019,0.117,0.0101,0.1866,0,0,0,0,2,4,4,1,2,5.728324108,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,455
0.1698,0.6019,0.2282,0.9219,0,0.0089,0.0054,0.0572,0,0.9308,0.1643,0.1086,42330,0.0094,0.0602,0.0121,0.0309,0.361,0,0,0,0,2,2,2,1,1,55.40166204986149,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,316
0.1776,0.601,0.2214,0.9587,0,0.0194,0,0.0117,0,0.9248,0.2122,0.1526,39032,0.0297,0.1303,0.1978,0,0.1293,1,0,0,0,2,1,2,1,1,51.75983436853002,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,485
0.1482,0.5847,0.2671,0.9728,0.0005,0.0133,0.0076,0.0033,0,0.8737,0.1266,0.2084,37143,0.0685,0.1747,0.0037,0.0281,0.211,2,0,0,0,2,2,3,2,2,-1.408133527,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,732
0.18,0.6082,0.2118,0.9288,0.0023,0.0266,0.014,0.0088,0,0.9021,0.1459,0.1699,41557,0.0578,0.1287,0.2803,0.045,0.1301,0,0,0,0,2,1,5,3,3,20.62486514577229,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,877
0.1213,0.6809,0.1978,1,0,0,0,0,0,0.9776,0.2129,0.1551,38250,0.0386,0.0567,0.0268,0,0,0,0,0,0,2,2,2,3,2,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,82
0.1872,0.6022,0.2106,0.8523,0,0.0217,0,0.0978,0,0.9125,0.1739,0.1625,38692,0.0728,0.1304,0.047,0.0272,0.2236,1,0,24.1,0,2,3,3,2,2,-0.472478148,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,737
0.1171,0.6456,0.2373,0.9442,0,0.0152,0,0.0127,0,0.9494,0.2536,0.0771,47955,0.0432,0.1247,0.0429,0,0.1756,1,1,0,0,1,3,1,1,1,56.85048322910745,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,273
0.2115,0.5297,0.2588,0.959,0,0.0149,0,0.0007,0,0.9308,0.1917,0.1832,44643,0.0689,0.1614,0.0895,0,0.078,0,0,0,0,1,3,3,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,235
0.1846,0.5942,0.2211,0.9147,0.0008,0.023,0.0025,0.0148,0,0.9126,0.2006,0.1101,52308,0.0263,0.1133,0.0802,0.0088,0.2444,1,1,0,0,2,3,2,1,1,0.9581162966234588,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,776
0.1863,0.5759,0.2378,0.9362,0.0019,0.0182,0.0083,0,0,0.9402,0.247,0.1184,50813,0.0044,0.1275,0.3109,0.0562,0.112,1,1,0,0,2,2,2,1,1,-0.417615627,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,618
0.1383,0.6596,0.2021,0.9149,0,0.0496,0.0142,0,0,0.9217,0.1983,0.1915,42500,0,0.1115,0.1327,0.0096,0.2166,0,0,0,0,2,4,5,2,3,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,106
0.2091,0.5714,0.2195,0.9497,0,0.0237,0,0.0085,0,0.7595,0.1907,0.1759,36076,0.0278,0.0931,0.1414,0.0175,0.164,1,0,47.42,0,2,4,2,2,2,0.614902783,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,465
0.1715,0.5407,0.2878,0.9851,0,0.0149,0,0,0,0.8789,0.2014,0.1316,40833,0.0274,0.1068,0.0978,0,0.1737,0,0,0,0,2,2,3,4,3,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,192
0.2746,0.5195,0.2059,0.9748,0,0,0,0,0,0.95,0.2679,0.0801,40375,0.0368,0.0526,0,0,0,0,0,0,0,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63
0.1942,0.6444,0.1614,0.8689,0.0126,0.0971,0.0025,0,0,0.9596,0.1705,0.1198,50833,0.0734,0.1437,0.1158,0,0,0,0,0,0,2,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152
0.1914,0.6224,0.1862,0.9862,0,0,0.0052,0,0.0086,0.9872,0.2506,0.1621,50350,0.01,0.0488,0,0,0.0403,0,0,0,0,1,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91
0.1894,0.5513,0.2592,0.9596,0.008,0.0075,0.0025,0.007,0,0.9481,0.196,0.1251,42463,0.0101,0.1219,0.074,0.0072,0.1917,0,0,0,0,1,4,3,2,2,5.337189315057039,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,355
0.1724,0.5788,0.2488,0.9682,0.0003,0.0103,0.0046,0.0017,0,0.9248,0.1871,0.1732,37328,0.0037,0.0718,0.0733,0.0471,0.2726,0,0,0,0,1,3,3,2,2,3.246540871,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,589
0.2014,0.5895,0.2091,0.8481,0.0002,0.1357,0,0,0,0.8891,0.1849,0.0982,53496,0.0154,0.0875,0.1682,0.0341,0.2895,0,0,0,0,2,3,2,1,2,2.446449095793753,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,794
0.1625,0.587,0.2505,0.9161,0,0.0621,0.0016,0.0072,0,0.9091,0.1783,0.1046,51786,0.047,0.0812,0,0,0.2734,0,0,0,0,2,1,3,2,2,53.24813631522897,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,387
0.1816,0.5815,0.237,0.9292,0.0016,0.0576,0,0.0005,0,0.902,0.1953,0.0847,44583,0.0366,0.068,0.1383,0.0345,0.1585,0,0,54.85,0,1,4,3,2,2,52.63157894736842,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,427
0.1538,0.5868,0.2594,0.9652,0.0023,0.0185,0.0013,0.0013,0,0.9121,0.1876,0.1308,46531,0.0338,0.121,0.0959,0.006,0.1938,0,0,0,0,2,4,3,3,3,1.8073369848978016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,549
