percent_of_population_under_15_(2013_2017),percent_of_population_aged_15_to_64_(2013_2017),percent_of_population_65plus_(2013_2017),percent_of_population_white_(non_hispanic)_(2013_2017),percent_of_populaiton_black_(non_hispanic)_(2013_2017),percent_of_population_hispanic_or_latino_(2013_2017),percent_of_population_asian_(non_hispanic)_(2013_2017),percent_of_population_native_american_alaska_native_(non_hispanic)_(2013_2017),percent_of_population_native_hawaiian_pacific_islander_(2013_2017),percent_of_population_aged_25plus_who_have_at_least_a_high_school_diploma_(2013_2017),percent_of_population_aged_25plus_who_have_a_bachelor's_degree_or_more_(2013_2017),poverty_rate_(2013_2017),median_household_income_(2013_2017),unemployment_rate_(2013_2017),percent_of_residents_with_a_disability_(aged_18_64)_(2013_2017),percent_of_popualtion_employed_in_mining_and_natural_resources_(2013_2017),percent_of_popualtion_employed_in_construction_(2013_2017),percent_of_popualtion_employed_in_trade_transportation_and_utilities_(2013_2017),number_of_substance_use_facilities_(as_of_march_2023),number_of_mental_health_facilities_(as_of_march_2023),mdspercapita,urbanicity,social_resilience_score,economic_risk_score,social_risk_score,economic_resilience_score,prosperity_index_score,delta_death_rate,m_enforce,ad_providers_Physicians,m_providers_Physicians,PDMP_any,PDMP_strestOnly if other state has PDMP laws consistent with or similar to this state,m_disc_specifics_Risks of the use of the drug,mmps-cann_THC,mmps-cpa_Independent third parties,PDMP_regkindPhysician prescribers,PDMP_Medicaid,m_write,PDMP_regawhen_Prior to accessing the PDMP,PDMP_proactNo action specified in the law,PDMP_regkindPhysician assistants,ad_disc_specifics_Risks of the use of the drug,PDMP_regkind_Optometrists,PDMP_agency_Professional licensing authority,PDMP_strest_Must have bilateral memorandum of understanding or data sharing agreement,mmps-label_Product potency,PDMP_leowhenActive investigations,PDMP_regkindNurse Practitioners,diff_std,m_law,PDMP_regkind_Pharmacists,PDMP_drepschSchedule V,PDMP_regkind_Podiatrists,ad_write,adult_law,PDMP_regkind_Dentists,PDMP_mimm,PDMP_agencyDepartment of Health ,population
0.2525,0.6316,0.1159,0.8426,0.0029,0.1284,0.0183,0.0019,0.0005,0.9063,0.2328,0.1133,54375,0.0879,0.1323,0.1623,0,0.2001,0,1,0,0,1,2,2,2,1,10.850753313548791,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,437
0.1507,0.5947,0.2546,0.3178,0.0036,0.6412,0.0106,0.0006,0,0.7698,0.2003,0.3042,26610,0.1165,0.3055,0.1314,0,0.1555,1,1,27.86,0,3,5,3,4,4,0.5781706522160981,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,592
0.1467,0.5641,0.2891,0.8981,0.0304,0.0446,0,0.0094,0.0002,0.917,0.294,0.1794,38605,0.1078,0.1223,0.024,0.1004,0.1573,0,1,0,0,1,1,2,3,1,-1.670702177,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,551
0.1833,0.5467,0.27,0.9229,0,0.052,0,0.0039,0.0017,0.9087,0.2028,0.1934,32240,0.0358,0.1577,0.0471,0.0354,0.1441,0,0,55.9,0,3,2,3,4,3,43.70629370629371,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,368
0.118,0.5783,0.3037,0.9346,0,0.0304,0,0.014,0,0.9486,0.4094,0.1121,51250,0.0506,0.2125,0.0293,0.1355,0.1289,0,0,0,0,1,2,2,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,133
0.1608,0.6141,0.2251,0.8185,0.0008,0.173,0,0.0031,0,0.8779,0.1907,0.1377,45053,0.0175,0.0501,0.1736,0.0312,0.1406,0,1,0,0,1,4,2,2,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,239
0.2314,0.5706,0.198,0.8901,0.0048,0.0662,0.0014,0.002,0,0.929,0.2023,0.1069,38385,0.0413,0.1408,0.0617,0.0288,0.1911,0,0,0,0,2,3,2,2,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,284
0.0706,0.5536,0.3758,0.8449,0.0063,0.145,0,0,0,0.9663,0.425,0.082,49125,0.0211,0.1412,0,0.04,0.1118,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,142
0.1131,0.6209,0.266,0.9161,0,0.0639,0.0065,0.0032,0,0.9779,0.5449,0.0915,62800,0.0642,0.0636,0.0773,0.0867,0.1065,0,0,0,0,1,1,1,1,1,19.73636087572344,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,984
0.2082,0.5986,0.1932,0.793,0.0016,0.1774,0.0069,0.003,0,0.8909,0.204,0.1189,46955,0.0266,0.1006,0.1785,0.0291,0.2206,1,1,0,0,1,3,3,2,2,21.46972300954221,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,939
0.0851,0.7446,0.1703,0.7591,0,0.2355,0,0.0054,0,0.954,0.2845,0.038,41250,0.1028,0.0945,0,0,0.1498,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,129
0.1618,0.5801,0.2581,0.7997,0.011,0.139,0.0152,0.0038,0,0.9118,0.1981,0.1469,46977,0.0841,0.101,0.0255,0.0025,0.1697,1,1,0,0,1,3,2,2,2,-1.580632985,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,445
0.1317,0.6729,0.1954,0.5018,0.4123,0.0662,0.0083,0.0034,0.0049,0.7875,0.11,0.1566,45903,0.032,0.172,0.1327,0,0.1066,0,0,0,1,4,5,4,5,5,3.383774695250107,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,664
